book_title,author_name,average_rating,no_of_languages,first_published
2001: A Space Odyssey,Arthur C. Clarke,4.163793,8,1968
Eyewitness,DK Publishing,4.5,1,2000
The Awakening,Kate Chopin,3.580645,6,1899
The Sign of Four,Arthur Conan Doyle,4.0545454,12,1889
Charlie and the Great Glass Elevator,Roald Dahl,3.3777778,13,1972
Tempest,William Shakespeare,3.9583333,29,1611
The Prince,Niccolò Machiavelli,3.7777777,13,1515
NASA/DoD aerospace knowledge diffusion research project,Thomas E. Pinelli,4.0,1,1990
A Christmas Carol,Charles Dickens,3.8888888,19,1843
Pygmalion,George Bernard Shaw,3.9148936,8,1912
Ender's Game,Orson Scott Card,4.3426967,13,1985
The First Men in the Moon,H. G. Wells,3.5833333,8,1900
Sein und Zeit,Martin Heidegger,4.1,6,1927
The War of the Worlds,H. G. Wells,3.8115942,12,1898
A Wrinkle in Time,Madeleine L'Engle,3.9315069,6,1962
The Subtle Knife,Philip Pullman,4.0212765,8,1997
The Martian Chronicles,Ray Bradbury,4.061856,9,1950
The Hitch Hiker's Guide to the Galaxy,Douglas Adams,4.5193796,9,1979
A Study of History,Arnold J. Toynbee,5.0,6,1900
The Time Machine,H. G. Wells,3.9305556,12,1895
A Brief History of Time,Stephen Hawking,4.1413045,14,1988
Peter Pan,J. M. Barrie,3.71875,7,1911
Flatland,Edwin Abbott Abbott,3.8901098,5,1884
Gulliver's Travels,Jonathan Swift,3.6911764,26,1726
De la terre à la lune,Jules Verne,3.7058823,6,1865
"I, Robot",Isaac Asimov,4.2266665,10,1950
Financial Management,United States. General Accounting Office,3.4285715,1,1987
Deception Point,Dan Brown,3.2643678,20,2001
Artemis Fowl,Eoin Colfer,3.8235295,13,1999
The Left Hand of Darkness,Ursula K. Le Guin,4.324324,9,1900
Essential Maths,Sean McArdle,4.8333335,1,1996
The Illustrated Man,Ray Bradbury,4.09375,5,1901
The Currents of Space,Isaac Asimov,3.7,7,1952
No Logo,Naomi Klein,3.4210527,8,1957
Have Spacesuit--Will Travel,Robert A. Heinlein,3.8888888,1,1958
Sphere,Michael Crichton,4.230769,11,1980
Dragonflight,Anne McCaffrey,4.0571427,6,1968
The Space Merchants,Frederik Pohl,4.8333335,3,1952
Perelandra: a novel,C.S. Lewis,3.7,3,1943
"Life, the Universe and Everything",Douglas Adams,4.168317,6,1900
Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space,Dav Pilkey,4.428571,9,1999
That hideous strength: a modern fairy-tale for grown-ups,C.S. Lewis,3.4615386,2,1945
Cosmos,Alexander von Humboldt,4.0,4,1845
Out of the Silent Planet,C.S. Lewis,3.9230769,2,1938
La planète des singes,Pierre Boulle,3.9333334,5,1963
Revelation Space,Alastair Reynolds,3.6190476,2,2000
Starship Troopers,Robert A. Heinlein,3.775862,4,1959
Tales of space and time,H. G. Wells,4.5,1,1899
Rendezvous with Rama,Arthur C. Clarke,4.1609197,2,1973
Destination,Seymour Simon,3.0,1,2000
Tom's Midnight Garden,Philippa Pearce,4.2,6,1958
Cosmos,Carl Sagan,4.714286,11,1980
The Naked Sun,Isaac Asimov,3.8823528,7,1954
Contact,Carl Sagan,4.212766,8,1985
Dragonquest,Anne McCaffrey,4.5,5,1971
Ringworld,Larry Niven,3.8,4,1970
Nutrition: Science and Applications,Lori A. Smolin,4.25,1,1994
Вишневый сад,Антон Павлович Чехов,4.0,10,1918
"2010, odyssey two",Arthur C. Clarke,3.7142856,4,1982
Hidden Figures,Margot Lee Shetterly,4.0,3,2016
"The Stars, Like Dust",Isaac Asimov,3.3333333,6,1951
The Forever War,Joe Haldeman,4.1309524,4,1974
"Architecture, form, space & order",Frank Ching,5.0,1,1979
Pebble in the Sky,Isaac Asimov,4.047619,6,1950
The Tommyknockers,Stephen King,4.2941175,5,1987
Never Cry Wolf,Farley Mowat,4.3333335,2,1963
Witches Abroad,Terry Pratchett,4.3095236,6,1991
The ARRL handbook for the radio amateur,American Radio Relay League (ARRL),4.5,1,1926
Unicorn Coloring Book,kids M. shop notebook,5.0,1,2019
"Geography: realms, regions, and concepts",Harm J. de Blij,4.5,1,1971
The Halloween Tree,Ray Bradbury,3.6,4,1972
Danse Macabre,Stephen King,3.8660715,6,1981
Speaker for the Dead,Orson Scott Card,4.1034484,5,1986
Xenocide,Orson Scott Card,3.8481014,3,1991
The White Dragon,Anne McCaffrey,4.375,5,1978
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.221374,12,2011
Financial audit,United States. General Accounting Office,2.5,1,1975
S.O.S. C'e Un Topo Nello Spazio!,Elisabetta Dami,4.7,3,2011
Red Mars,Kim Stanley Robinson,3.686567,5,1992
The Indian in the Cupboard,Lynne Reid Banks,4.2083335,3,1980
The water-witch,James Fenimore Cooper,1.0,1,1830
"Space, time and architecture: the growth of a new tradition.",Sigfried Giedion,5.0,1,1941
The three stigmata of Palmer Eldritch,Philip K. Dick,3.5217392,5,1965
The power of color,Sara O. Marberry,3.3,1,1995
Ender's Shadow,Orson Scott Card,4.0,4,1999
The Wind's Twelve Quarters: Short Stories,Ursula K. Le Guin,4.0,5,1975
Puck of Pook's Hill,Rudyard Kipling,3.75,3,1906
A Briefer History of Time,Stephen Hawking,3.4117646,9,2005
Nova Atlantis,Francis Bacon,4.0,7,1627
Pale Blue Dot,Carl Sagan,4.5833335,4,1994
Space stations,Gregory Vogt,2.0,1,1990
Space stations,Erik Bergaust,3.0,1,1962
Space stations,Diane M. Sipiera,4.0,1,1997
Space Station Down,Ben Bova,1.0,1,2020
The Outer Space Mystery,Gertrude Chandler Warner,3.0,1,1997
Mrs. Jeepers in Outer Space,Marcia Thornton Jones,5.0,1,1999
Space vehicle electronics,"Newman, David B.",5.0,1,1964
Leviathan Wakes,James S. A. Corey,4.2352943,4,2009
A Swiftly Tilting Planet (Time Quintet #3),Madeleine L'Engle,3.6190476,1,1978
Star Wars Episode III - Revenge of the Sith,Matthew Woodring Stover,4.6666665,3,2005
"The Long Way to a Small, Angry Planet",Becky Chambers,4.0857143,4,2014
Caliban's war,James S. A. Corey,4.294737,4,2012
Use of Weapons,Iain M. Banks,3.9,2,1990
Star Wars - Thrawn,Timothy Zahn,4.3125,2,2017
Babylon's Ashes (The Expanse),James S. A. Corey,4.0588236,2,2016
Redshirts,John Scalzi,3.7971015,2,2012
Abaddon’s Gate,James S. A. Corey,4.125,3,2013
Old Man’s War,John Scalzi,4.216495,1,2005
Star Wars - Ahsoka,E. K. Johnston,4.1,2,2016
Look to windward,Iain M. Banks,4.0333333,4,2000
The Last Colony,John Scalzi,3.732143,1,2007
Space Cadet,Robert A. Heinlein,4.428571,4,1948
The Algebraist,Iain M. Banks,3.7894738,4,2004
Triplanetary,E. D. Smith,3.7142856,1,1948
Downbelow station,C. J. Cherryh,2.875,1,1981
On Basilisk Station,David Weber,3.4285715,2,1993
Star Wars Episode I - The Phantom Menace,Terry Brooks,3.2,6,1995
The Hydrogen Sonata,Iain M. Banks,3.9230769,2,2012
We Are Legion: (We Are Bob),Dennis E. Taylor,4.2,2,2016
Embassytown,China Miéville,3.6,1,2011
"Tilting the Balance (Worldwar Series, Volume 2)",Harry Turtledove,3.3333333,3,1994
Space Viking,H. Beam Piper,2.0,1,1963
The Reality Dysfunction,Peter F. Hamilton,3.6818182,1,1996
Weapons & warfare: from the stone age to the space age,Milton Meltzer,5.0,1,1996
First Lensman,Edward Elmer Smith,4.3333335,1,1950
Nemesis Games,James S. A. Corey,4.428571,2,2015
Star Wars Trilogy,George Lucas,3.6666667,1,1985
Space Wolf,William King,3.5,1,2000
Cibola burn,James S. A. Corey,4.3333335,2,2014
Star Wars - The Old Republic - Revan,Drew Karpyshyn,4.0,1,2011
Star Wars - Darth Plagueis,James Luceno,4.25,2,2001
Zoe's Tale,John Scalzi,3.7931035,1,2008
Star Wars - Lost Stars,Claudia Gray,3.0,2,2015
Earth Unaware,Orson Scott Card,3.909091,3,2012
Earth Afire,Orson Scott Card,4.090909,3,2013
Ringworld's Children,Larry Niven,3.25,1,2001
Earth Awakens,Orson Scott Card,3.8888888,1,2014
The Ghost Brigades,John Scalzi,3.875,1,2006
Off Armageddon Reef,David Weber,3.5714285,1,2007
Star Wars - Tarkin,James Luceno,3.6666667,1,2014
Deep space,Ian Douglas,3.3333333,1,2013
The Ship Who Sang,Anne McCaffrey,4.111111,2,1969
Goodnight Moon,Margaret Wise Brown,4.1525426,10,1947
New Moon,Stephenie Meyer,4.1355934,13,2006
Emily of New Moon,Lucy Maud Montgomery,4.0,7,1923
Twilight,Stephenie Meyer,3.6380367,12,2005
The moon and sixpence,William Somerset Maugham,4.8333335,9,1919
Hans Andersen's Fairy Tales,Hans Christian Andersen,3.7777777,20,1846
Fairy Tales and Stories,Hans Christian Andersen,3.1666667,16,1850
Vingt mille lieues sous les mers,Jules Verne,4.117647,13,1870
Study Guide,Supersummary,2.0,1,2019
Philosophiae naturalis principia mathematica,Sir Isaac Newton,4.2727275,2,1687
The Very Hungry Caterpillar,Eric Carle,4.0117645,18,1929
The Return of the Native,Thomas Hardy,4.0,5,1878
The Importance of Being Earnest,Oscar Wilde,4.0416665,5,1893
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2533875,46,1997
Les fleurs du mal,Charles Baudelaire,3.75,11,1855
Tess of the d'Urbervilles,Thomas Hardy,3.6666667,11,1707
Plays (36),William Shakespeare,3.5714285,6,1623
Adventures of Huckleberry Finn,Mark Twain,3.75,23,1876
Pride and Prejudice,Jane Austen,4.1348314,26,1813
The moon is a harsh mistress,Robert A. Heinlein,4.0,6,1965
The Moon is Down,John Steinbeck,4.181818,10,1942
Walk Two Moons,Sharon Creech,3.8125,5,1994
Jude the Obscure,Thomas Hardy,3.875,8,1895
Breaking Dawn,Stephenie Meyer,3.4895833,12,2008
It,Stephen King,4.1077285,10,1986
Carolina Moon,Nora Roberts,2.7142856,4,2000
The Rainbow,David Herbert Lawrence,3.75,1,1915
American Gods,Neil Gaiman,4.265306,7,2001
Memoirs of Fanny Hill,John Cleland,3.25,6,1749
My Secret Life,Walter,5.0,1,1966
Moon called,Patricia Briggs,3.8421052,2,2005
Owl Moon,Jane Yolen,4.3333335,3,1987
The Moon-Spinners,Mary Stewart,4.6666665,2,1962
Fool Moon,Jim Butcher,3.8235295,3,2001
Where the Mountain Meets the Moon,Grace Lin,4.3333335,3,2009
The Girl Who Drank the Moon,Kelly Regan Barnhill,3.925926,3,2016
Gardens of the Moon,Steven Erikson,4.0227275,3,1999
"Sailor Moon, Vol. 1",Naoko Takeuchi,4.4,2,1991
The Hate U Give,Angie Thomas,4.40566,13,2017
Moon rising,Tui T. Sutherland,4.3333335,1,2014
Daughter of the Moon Goddess,Sue Lynn Tan,3.8,1,2022
Night Shift,Stephen King,4.4583335,6,1978
Baby Einstein,Julie Aigner-Clark,3.6923077,1,2001
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.125,2,2017
Hannibal,Thomas Harris,4.1,7,1999
Bleach,Tite Kubo,4.714286,1,2004
Drawing down the Moon,Margot Adler,3.5,1,1979
The warlord of Mars #3,Edgar Rice Burroughs,4.5,1,1919
Insomnia,Stephen King,3.8829787,7,1994
The Grouchy Ladybug,Eric Carle,3.3333333,8,1977
The Moon for Lavinia,Betty Neels,4.0,2,1957
Black House,Stephen King,3.5625,5,2001
God Emperor of Dune,Frank Herbert,3.8666666,5,1981
Emily climbs,Lucy Maud Montgomery,3.0,4,1925
Moon Witch,Anne Mather,3.3333333,2,1970
Kitten's first full moon,Kevin Henkes,3.625,6,2004
Nightmares & Dreamscapes,"King, Stephen",3.857143,5,1993
Tender Buttons,Gertrude Stein,3.5,2,1914
Flower Fables,Louisa May Alcott,5.0,1,1854
Wish on the Moon,Sally Wentworth,3.4,1,1989
2020-2021,Love Write,1.0,2,2020
Artemis,Andy Weir,3.6666667,4,2017
Houghton Mifflin Science,Houghton Mifflin Company Staff,1.0,1,2000
100 Animals,Scott Autumn,5.0,1,2020
Hunter's Moon,Margaret Way,3.75,1,1982
Labyrinths,Jorge Luis Borges,4.121951,2,1962
"The school for scandal, 1780",Richard Brinsley Sheridan,4.0,7,1778
Night of the Seventh Moon,Eleanor Alice Burford Hibbert,4.0,3,1879
Cycle of the Werewolf,"King, Stephen",3.5,5,1983
Wings of Fire : Moon Rising,Tui T. Sutherland,5.0,1,2022
Emily's quest,Lucy Maud Montgomery,3.0,3,1756
4th of July,James Patterson,3.8333333,6,1947
Moon palace,Paul Auster,3.75,1,1989
Lost Moon: The Perilous Voyage of Apollo 13,Jim Lovell,3.75,1,1994
Tears of the Moon,Nora Roberts,3.6666667,5,2000
The man who sold the moon,Robert A. Heinlein,4.285714,2,1950
The New York Trilogy: City of Glass/ Ghosts/ the Locked Room,Paul Auster,4.3846154,4,1987
Homecoming,Cynthia Voigt,4.0,2,1981
Poppy,Avi,3.8636363,1,1995
Eleanor Oliphant is Completely Fine,Gail Honeyman,4.137931,2,2017
Moonwalk,Michael Jackson,5.0,2,1988
Wish for the moon,Carole Mortimer,4.071429,1,1987
Halloween Memory Book,Festivity Day Press,3.0,1,2019
A Princess of Mars,Edgar Rice Burroughs,3.9666667,4,1917
"Men are From Mars, Women are From Venus",John Gray,3.7173913,9,1992
The Old Man and the Sea,Ernest Hemingway,3.9114583,22,1952
A Portrait of the Artist as a Young Man,James Joyce,3.34375,14,1818
Max Ernst,Max Ernst,3.0,10,1956
"Frotiers Peace Treaties, and International Organization",Vincent van Gogh,4.2777777,8,1914
Picasso,Pablo Picasso,3.857143,9,1926
Divina Commedia,Dante Alighieri,3.8333333,27,1484
The Power of Your Subconscious Mind,Joseph Murphy,4.099379,5,1963
Book of common prayer,Church of England,3.6666667,25,1537
Utopia,Thomas More,3.2222223,10,1518
Madame Bovary,Gustave Flaubert,3.804878,20,1857
Moby Dick,Herman Melville,3.8110237,16,1851
The Picture of Dorian Gray,Oscar Wilde,4.090909,18,1890
The Martian,Andy Weir,4.3818183,15,2011
Rembrandt,Rembrandt Harmenszoon van Rijn,4.2,7,1900
Doctor Faustus,Christopher Marlowe,3.8181818,2,1662
"Thuvia, Maid of Mars",Edgar Rice Burroughs,4.5,1,1916
A  child's garden of verses,Robert Louis Stevenson,4.3333335,2,1885
The Amber Spyglass,Philip Pullman,3.8666666,9,1900
A Wizard of Earthsea,Ursula K. Le Guin,3.9814816,10,1968
The Sea-Wolf,Jack London,4.0,12,1900
Life of Pi,Yann Martel,3.9379845,13,2001
Green Mars,Kim Stanley Robinson,3.6666667,5,1901
Wide Sargasso Sea,Jean Rhys,3.857143,4,1966
The Sea of Monsters,Rick Riordan,4.5111113,7,2005
Skeleton Crew,Stephen King,4.3333335,8,1985
Os Lusíadas,Luís de Camões,4.6,9,1572
Haroun and the Sea of Stories,Salman Rushdie,4.375,7,1990
"Over Sea, Under Stone (The Dark Is Rising #1)",Susan Cooper,3.3888888,11,1965
"Laws, etc",United States,5.0,1,1789
The Chessmen of Mars,Edgar Rice Burroughs,4.285714,2,1922
War Horse,Michael Morpurgo,4.4,5,1982
An Anthropologist on Mars,Oliver Sacks,4.4,8,1995
Sea Swept,Nora Roberts,4.6,4,1968
Dreamcatcher,Stephen King,3.483871,5,2001
Alberto Giacometti,Alberto Giacometti,1.0,8,1955
Kensuke's kingdom,Michael Morpurgo,4.3076925,7,1999
Titus Andronicus,William Shakespeare,3.1666667,12,1600
Mars and Venus in the bedroom,John Gray,1.0,4,1995
Arms and the Man,George Bernard Shaw,4.0,6,1898
Blue Mars,Kim Stanley Robinson,3.375,3,1996
Pakistan,United States,3.0,1,1965
Salt to the Sea,Ruta Sepetys,4.076923,4,2016
Gift from the sea,Anne Morrow Lindbergh,3.2,3,1955
"The Sea, the Sea",Iris Murdoch,3.4,4,1978
The Starless Sea,Erin Morgenstern,3.857143,2,2019
"Mr. Brown Can Moo, Can You? (Bright & Early Book)",Dr. Seuss,3.7058823,2,1970
Children of Blood and Bone,Tomi Adeyemi,4.0666666,2,2017
The Beetle,Richard Marsh,3.5,1,1917
Podkayne of Mars,Robert A. Heinlein,3.8333333,2,1960
Packing for Mars,Mary Roach,4.0555553,1,2010
The Circular Staircase,Mary Roberts Rinehart,3.3333333,3,1908
Novelas ejemplares,Miguel de Cervantes Saavedra,4.3333335,9,1626
The Son of Neptune,Rick Riordan,4.262626,4,2011
K,Mary Roberts Rinehart,3.6666667,1,1915
"Laws, etc",England and Wales,3.0,1,1513
After You,Jojo Moyes,4.4545455,5,2014
Oceano mare,Alessandro Baricco,3.5,6,1993
Don Giovanni,Wolfgang Amadeus Mozart,3.5,7,1800
Epigrammata,Marcus Valerius Martialis,3.0,7,1501
The seven principles for making marriage work,John Mordechai Gottman,4.5,3,1999
Dr. ​Mengele boncolóorvosa voltam az auschwitzi krematóriumban,Miklós Nyiszli,5.0,3,1960
The Bat,Mary Roberts Rinehart,4.0,2,1926
The After House,Mary Roberts Rinehart,3.5,1,1914
The Gods of Mars,Edgar Rice Burroughs,3.0,1,1918
What is history?,E. H. Carr,3.0,5,1961
Stars Through the Mist,Betty Neels,3.8666666,1,1957
Moving Mars,Greg Bear,4.0,3,1993
An Unsuitable Job for a Woman,P. D. James,4.25,5,1972
Prisoners of geography,Tim Marshall,4.0588236,4,2015
Kandinsky,Wassily Kandinsky,5.0,7,1947
Made in America,Bill Bryson,4.5,1,1994
3001: The Final Odyssey,Arthur C. Clarke,3.625,6,1997
Pippi Langstrump i Söderhavet,Astrid Lindgren,5.0,7,1957
The Case of Jennie Brice,Mary Roberts Rinehart,3.6666667,1,1915
Dangerous Days,Mary Roberts Rinehart,1.0,1,1919
The Man in Lower Ten,Mary Roberts Rinehart,3.0,2,1909
